dateOfLoss,occupancyType,countyCode,causeOfDamage,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,buildingDamageAmount,netBuildingPaymentAmount
2015-12-08T00:00:00.000Z,1,45051.0,0,,,,0.0
2015-10-03T00:00:00.000Z,1,45041.0,4,47561.67,0.0,47053.0,47561.67
2015-10-03T00:00:00.000Z,1,45019.0,4,,,1317.0,0.0
2015-10-04T00:00:00.000Z,11,45029.0,0,,,1736.0,0.0
2015-09-24T00:00:00.000Z,1,45015.0,0,,,,0.0
2015-09-25T00:00:00.000Z,1,45019.0,2,,,1172.0,0.0
2015-10-04T00:00:00.000Z,6,45075.0,,,,,0.0
2015-09-28T00:00:00.000Z,1,45051.0,1,21208.14,0.0,22930.0,21208.14
2015-10-03T00:00:00.000Z,11,45051.0,0,,,,0.0
2015-10-04T00:00:00.000Z,11,45051.0,2,1131.78,0.0,2381.0,1131.78
2015-10-03T00:00:00.000Z,1,45019.0,4,,,,0.0
2015-10-04T00:00:00.000Z,1,45079.0,2,,,1969.0,0.0
2015-10-04T00:00:00.000Z,1,45051.0,4,,,795.0,0.0
2015-10-04T00:00:00.000Z,11,45063.0,2,,,,0.0
2015-10-04T00:00:00.000Z,1,45035.0,2,18912.3,0.0,19912.0,18912.3
2015-10-09T00:00:00.000Z,1,45043.0,4,4380.38,0.0,9380.0,4380.38
2015-10-03T00:00:00.000Z,1,45019.0,2,48368.1,0.0,49618.0,48368.1
2015-10-03T00:00:00.000Z,1,45043.0,4,29953.7,16477.79,27017.0,29953.7
2015-10-05T00:00:00.000Z,1,45079.0,4,2759.79,0.0,2726.0,2759.79
2015-10-04T00:00:00.000Z,1,45079.0,2,65081.89,25000.0,62981.0,65081.89
2015-10-05T00:00:00.000Z,1,45079.0,4,72647.16,6713.0,63170.0,72647.16
2015-10-04T00:00:00.000Z,1,45079.0,2,26308.27,0.0,25281.0,26308.27
2015-10-02T00:00:00.000Z,1,45019.0,2,7061.36,0.0,10963.0,7061.36
2015-10-03T00:00:00.000Z,11,45019.0,4,,,,0.0
2015-10-05T00:00:00.000Z,1,45063.0,2,15343.5,0.0,12436.0,15343.5
2015-10-04T00:00:00.000Z,1,45015.0,4,14280.57,0.0,14113.0,14280.57
2015-10-05T00:00:00.000Z,1,45035.0,2,2827.85,0.0,4078.0,2827.85
2015-10-30T00:00:00.000Z,1,45051.0,4,3010.14,0.0,4107.0,3010.14
2015-10-03T00:00:00.000Z,1,45051.0,4,19592.3,0.0,20842.0,19592.3
2015-10-03T00:00:00.000Z,11,45035.0,1,4313.07,0.0,5179.0,4313.07
2015-10-05T00:00:00.000Z,1,45051.0,0,,,,0.0
2015-10-29T00:00:00.000Z,1,45051.0,,,,,0.0
2015-07-02T00:00:00.000Z,1,45013.0,4,5375.52,0.0,6263.0,5375.52
2015-10-04T00:00:00.000Z,1,45079.0,2,7396.34,0.0,8646.0,7396.34
2015-10-03T00:00:00.000Z,11,45019.0,4,10258.48,0.0,12258.0,10258.48
2015-10-01T00:00:00.000Z,1,45019.0,4,1150.42,0.0,5152.0,1150.42
2015-10-03T00:00:00.000Z,1,45019.0,2,,,2933.0,0.0
2015-10-04T00:00:00.000Z,3,45019.0,2,600739.03,0.0,548572.0,600739.03
2015-10-03T00:00:00.000Z,11,45043.0,1,,,617.0,0.0
2015-10-06T00:00:00.000Z,1,45051.0,4,8417.89,0.0,9223.0,8417.89
2015-10-04T00:00:00.000Z,1,45085.0,4,4110.08,0.0,4595.0,4110.08
2015-10-03T00:00:00.000Z,11,45063.0,2,9163.89,0.0,8339.0,9163.89
2015-12-21T00:00:00.000Z,1,45079.0,4,,,,0.0
2015-10-07T00:00:00.000Z,3,45019.0,4,138442.27,0.0,143442.0,138442.27
2015-10-03T00:00:00.000Z,1,45019.0,4,8470.34,0.0,10078.0,8470.34
2015-09-21T00:00:00.000Z,3,45079.0,4,2726.79,0.0,3726.0,2726.79
2015-08-27T00:00:00.000Z,1,45013.0,4,16543.86,653.6,17543.0,16543.86
2015-10-27T00:00:00.000Z,1,45019.0,4,9043.53,0.0,10132.0,9043.53
2015-10-03T00:00:00.000Z,3,45079.0,4,,,,0.0
2015-10-04T00:00:00.000Z,16,45079.0,4,51012.33,16414.53,49737.0,51012.33
2015-10-05T00:00:00.000Z,1,45051.0,4,5613.57,213.37,6614.0,5613.57
2015-10-03T00:00:00.000Z,1,45051.0,0,,,1091.0,0.0
2015-10-03T00:00:00.000Z,1,45019.0,4,5748.37,0.0,6258.0,5748.37
2015-10-04T00:00:00.000Z,1,45051.0,0,,,,0.0
2015-05-10T00:00:00.000Z,1,45051.0,0,9052.77,0.0,11053.0,9052.77
2015-10-04T00:00:00.000Z,1,45019.0,4,,,,0.0
2015-10-01T00:00:00.000Z,11,45019.0,4,,,,0.0
2015-10-03T00:00:00.000Z,11,45019.0,2,9628.83,0.0,8148.0,9628.83
2015-10-02T00:00:00.000Z,11,45019.0,,,,,0.0
2015-10-10T00:00:00.000Z,1,45079.0,0,,,,0.0
2015-10-03T00:00:00.000Z,11,45079.0,0,,,,0.0
2015-10-04T00:00:00.000Z,1,45019.0,4,,,1669.0,0.0
2015-10-04T00:00:00.000Z,11,45043.0,4,21749.31,33943.76,23749.0,21749.31
2015-10-04T00:00:00.000Z,18,45019.0,,,,,0.0
2015-10-02T00:00:00.000Z,1,45043.0,2,,,1588.0,0.0
2015-10-04T00:00:00.000Z,3,45051.0,4,2975.0,0.0,3891.0,2975.0
2015-09-23T00:00:00.000Z,15,45051.0,0,,,,0.0
2015-10-03T00:00:00.000Z,3,45079.0,4,27768.24,0.0,28768.0,27768.24
2015-10-04T00:00:00.000Z,1,45019.0,4,4953.18,0.0,8672.0,4953.18
2015-10-02T00:00:00.000Z,11,45019.0,4,,,1154.0,0.0
2015-10-04T00:00:00.000Z,1,45019.0,4,2372.43,0.0,5372.0,2372.43
2015-10-03T00:00:00.000Z,11,45063.0,2,,,841.0,0.0
2015-10-04T00:00:00.000Z,6,45013.0,,,,,0.0
2015-10-04T00:00:00.000Z,1,45019.0,0,,,,0.0
2015-10-05T00:00:00.000Z,11,45041.0,A,20072.3,7693.4,15124.0,20072.3
2015-10-27T00:00:00.000Z,1,45051.0,1,19418.79,0.0,21418.0,19418.79
2015-10-09T00:00:00.000Z,1,45019.0,4,,,31.0,0.0
2015-10-03T00:00:00.000Z,3,45079.0,0,,,,0.0
2015-10-02T00:00:00.000Z,1,45019.0,4,11148.74,0.0,8827.0,11148.74
2015-10-03T00:00:00.000Z,11,45019.0,4,14736.72,0.0,13647.0,14736.72
2015-11-04T00:00:00.000Z,1,45067.0,4,19996.98,4411.1,21246.0,19996.98
2015-10-04T00:00:00.000Z,11,45063.0,4,17245.99,3060.22,17113.0,17245.99
2015-10-05T00:00:00.000Z,11,45043.0,0,36672.82,1740.64,30001.0,36672.82
2015-10-04T00:00:00.000Z,1,45051.0,2,11675.46,1182.68,13675.0,11675.46
2015-10-03T00:00:00.000Z,1,45019.0,4,926.22,0.0,5926.0,926.22
2015-10-03T00:00:00.000Z,11,45019.0,4,,,1267.0,0.0
2015-10-04T00:00:00.000Z,16,45079.0,4,7044.19,0.0,7503.0,7044.19
2015-10-04T00:00:00.000Z,1,45079.0,4,172978.85,100000.0,153384.0,172978.85
2015-10-03T00:00:00.000Z,3,45079.0,4,2150.93,0.0,3150.0,2150.93
2015-11-18T00:00:00.000Z,1,45015.0,0,,,,0.0
2015-10-03T00:00:00.000Z,1,45019.0,0,34102.23,10986.4,36103.0,34102.23
2015-08-31T00:00:00.000Z,1,45019.0,4,8934.72,186.5,9876.0,8934.72
2015-10-02T00:00:00.000Z,1,45009.0,4,20694.52,0.0,22694.0,20694.52
2015-10-02T00:00:00.000Z,11,45019.0,4,,,3246.0,0.0
2015-10-04T00:00:00.000Z,11,45051.0,2,9939.89,0.0,9454.0,9939.89
2015-10-04T00:00:00.000Z,1,45051.0,4,4082.91,0.0,6082.0,4082.91
2015-10-04T00:00:00.000Z,1,45051.0,2,8309.39,0.0,9309.0,8309.39
2015-10-04T00:00:00.000Z,11,45051.0,0,12551.92,0.0,17552.0,12551.92
2015-10-04T00:00:00.000Z,1,45051.0,4,0.0,65636.59,,0.0
